measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,15,Republic of the Union of Myanmar,3,Both,22,All ages,524,Cirrhosis due to alcohol,1,Number,2021,2949.8408186989677,4352.900054445885,1801.2056673218628
1,Deaths,79,Republic of Finland,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2021,195.42181713359207,253.4063154941151,139.56108588799626
1,Deaths,160,Islamic Republic of Afghanistan,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,52.01205874555271,78.82150150120678,24.038273461504303
1,Deaths,206,Republic of the Gambia,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2021,61.443877785950434,103.76042343184562,34.73572657370022
1,Deaths,47,Czech Republic,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,442.29020057349277,510.60010842186557,377.523140561265
1,Deaths,126,Republic of Costa Rica,3,Both,22,All ages,524,Cirrhosis due to alcohol,1,Number,2021,313.55544752187177,388.2898281307137,240.2526476744091
1,Deaths,191,Republic of Zambia,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,0.28666675708876954,2.3613435130726486,0.023224208093395086
1,Deaths,93,Kingdom of Sweden,3,Both,22,All ages,524,Cirrhosis due to alcohol,1,Number,2021,440.03508193445015,509.68395287186,375.652606203569
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2021,175.31301148613392,290.9758863280499,103.19597721551739
1,Deaths,47,Czech Republic,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,102.91017175029238,131.68338003953764,76.86351139439626
1,Deaths,16,Republic of the Philippines,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2021,1323.8175698092812,1682.383626532376,1008.7841628595428
1,Deaths,16,Republic of the Philippines,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,581.7239337456816,739.6153379745344,421.5985436494113
1,Deaths,142,Islamic Republic of Iran,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2021,172.66603887226296,207.73340597044728,136.4254375492671
1,Deaths,76,Kingdom of Belgium,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2021,336.99135907672013,435.37396251485234,256.2091761436227
1,Deaths,55,Republic of Slovenia,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,300.16623275294046,348.30325617720734,259.27405590169644
1,Deaths,45,Republic of Bulgaria,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,144.52851122260893,168.0656149133935,124.32347717975179
1,Deaths,144,Hashemite Kingdom of Jordan,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2021,9.883206936589518,15.86920974691954,5.8030406522243885
